name,location,category
ground beef,costco,meat
chicken breast,costco,meat
bacon,costco,meat
chicken nuggets,costco,meat
sausages ,costco,meat
chicken thighs,costco,meat
ground pork,costco,meat
eggs,costco,meat
pork shoulder,costco,meat
green beans,berkeley bowl ,vegetable
bok choy,berkeley bowl ,vegetable
green Onions,berkeley bowl ,vegetable
Napa Cabbage,berkeley bowl ,vegetable
Broccoli,berkeley bowl ,vegetable
Yellow onions,berkeley bowl ,vegetable
Tomatoes,berkeley bowl ,vegetable
Cucumber,berkeley bowl ,vegetable
Carrots,berkeley bowl ,vegetable
Mushrooms,berkeley bowl ,vegetable
green bell pepper,berkeley bowl ,vegetable
red bell pepper,berkeley bowl ,vegetable
yellow bell pepper,berkeley bowl ,vegetable
orange bell pepper,berkeley bowl ,vegetable
garlic,berkeley bowl ,vegetable
red onions,berkeley bowl ,vegetable
potatoes,berkeley bowl ,vegetable
cilantro,berkeley bowl ,vegetable
lettuce,berkeley bowl ,vegetable
basil,berkeley bowl ,vegetable
apples,berkeley bowl ,fruit
bananas,berkeley bowl ,fruit
oranges,berkeley bowl ,fruit
peaches,berkeley bowl ,fruit
pears,berkeley bowl ,fruit
clementines,berkeley bowl ,fruit
plum,berkeley bowl ,fruit
lime,berkeley bowl ,fruit
lemon,berkeley bowl ,fruit
grapes,berkeley bowl ,fruit
watermelon,berkeley bowl ,fruit
cantaloupe,berkeley bowl ,fruit
strawberry,berkeley bowl ,fruit
avocado,berkeley bowl ,fruit
mango,berkeley bowl ,fruit
flour,costco,pantry
baking soda,costco,pantry
baking powder,costco,pantry
corn starch,costco,pantry
white sugar,costco,pantry
brown sugar,costco,pantry
powdered sugar,costco,pantry
salt,costco,pantry
black pepper,costco,pantry
garlic powder,costco,pantry
taco seasoning,costco,pantry
garlic salt,costco,pantry
white pepper,ranch 99,pantry
dried chili pepper,safeway,pantry
dried oregano,safeway,pantry
dried thyme,safeway,pantry
dried rosemary,safeway,pantry
nutmeg,safeway,pantry
cinnamon,safeway,pantry
vanilla extract,safeway,pantry
chocolate chips,costco,pantry
bread crumbs,safeway,pantry
ketchup,costco,pantry
mustard,costco,pantry
bbq sauce,costco,pantry
relish,costco,pantry
sriracha,safeway,pantry
olive oil,costco,pantry
vegetable oil,costco,pantry
canola oil,costco,pantry
seasame oil,costco,pantry
coconut oil,costco,pantry
soy sauce,costco,pantry
white vinegar,costco,pantry
rice vinegar,safeway,pantry
black vinegar,ranch 99,pantry
apple cider vinegar,safeway,pantry
honey,costco,pantry
oatmeal,costco,pantry
cereal,costco,pantry
canned green beans,costco,pantry
canned coconut milk,costco,pantry
canned black beans,costco,pantry
canned corn,costco,pantry
marinara sauce,costco,pantry
alfredo sauce,costco,pantry
spaghetti noodles,costco,pantry
chicken broth,costco,pantry
bagels,costco,pantry
croissant,costco,pantry
muffins,costco,pantry
bread,costco,pantry
pasta noodles,costco,pantry
